,ID,specz,zphot,u_flux,u_err,g_flux,g_err,r_flux,r_err,i_flux,i_err,z_flux,z_err,JUV_flux,JUV_err,KUV_flux,KUV_err,K_flux,K_err,ch1_flux,ch1_err,ch2_flux,ch2_err,flags,ima_flags
12,2690,0.5868143439292908,0.5850397798792272,0.00500749284401536,0.0002672483096830547,0.009309531189501286,0.0005371600273065269,0.03178715333342552,0.0012930777156725526,0.05374952778220177,0.0018976335413753986,0.07398068904876709,0.0024900385178625584,0.12026142422391209,0.004118020547018599,0.2215291638103234,0.003609438584045245,0.24284139320517964,0.0021687970821781507,0.22719930112361908,0.011158592067658901,0.17814649641513824,0.009048068895936012,0.0,0.0
13,3026,0.08276353181338311,0.12783034823143552,0.08700276166200638,0.002838280750438571,0.22758381068706512,0.007362450938671827,0.3972060978412628,0.012826746329665184,0.540935754776001,0.017467502504587173,0.6309922337532043,0.02040003426373005,0.8110945862996692,0.005260630764813214,0.9095692180653431,0.004805570891919678,0.8716062037535803,0.003590407494219288,0.47655782103538513,0.02268804982304573,0.33299747109413147,0.016103873029351234,0.0,0.0
14,3143,0.5620203018188477,0.7225907689989097,0.0025233218912035227,0.00023049030278343707,0.006403720006346703,0.0004370630194898695,0.04226762056350708,0.0021141592878848314,0.032626040279865265,0.0012113387929275632,0.046784818172454834,0.0017815055325627327,0.07621863333332997,0.004372811884258552,0.12202757401085466,0.0041068230867545045,0.12193454742380891,0.00162773060893208,0.1227918490767479,0.006523763760924339,0.08582652360200882,0.004812092054635286,0.0,0.0
15,3332,0.48858171701431274,0.525945927059912,0.0006263271206989884,0.0001298393472097814,0.007435713429003954,0.0006595212616957724,0.03976492956280708,0.0015864238375797868,0.08571946620941162,0.0030676857568323612,0.11352893710136414,0.004139776341617107,0.13416969080612837,0.004030712612309981,0.22849994948658867,0.0035878599200086284,0.2518947061573482,0.0025411890027786338,0.18707086145877838,0.009481171146035194,0.13463245332241058,0.007156320847570896,2.0,0.0
16,3482,0.1842405149421692,-1.0,0.09375199675559998,0.003048479091376066,0.23525398969650269,0.007606281898915768,0.4566580057144165,0.014744012616574764,0.6596884727478027,0.021285872906446457,0.7778100967407227,0.025105349719524384,1.1240884256963577,,1.5394239745324962,,1.4609515988167272,0.003615872754305347,0.8187237977981567,0.038224440068006516,0.6791542172431946,0.03187599405646324,0.0,0.0
17,3501,0.19348001854753494,-1.0,0.09662379324436188,0.0033547093626111746,0.38500669598579407,0.012533651664853096,1.2027575969696045,0.038834333419799805,2.1428892612457275,0.06915801018476486,2.902153730392456,0.09376244992017746,3.1857839785747313,,4.316980169770581,,4.124267583308042,0.009403883277649282,2.019016981124878,0.09393256157636642,1.5760992765426636,0.07348348945379257,3.0,0.0
18,3547,0.4971660077571869,0.5176839758885469,0.0009019971475936472,0.00045653991401195526,0.004274460021406412,0.0005006598657928407,0.023345747962594032,0.0010689562186598778,0.03856169059872627,0.0013387679355219007,0.05312136188149452,0.0019747340120375156,0.07764399619526889,0.0043666412782542895,0.12630039945621552,0.00407982966381588,0.14427543792034883,0.0017902539162916583,0.11843306571245193,0.0062516480684280396,0.09012965857982635,0.00509727792814374,0.0,0.0
19,3632,0.39306437969207764,0.38403014298622146,0.003649724181741476,0.00043447408825159073,0.01943219266831875,0.0008249933016486466,0.09636731445789337,0.0033323338720947504,0.13392683863639832,0.004352888558059931,0.1751297563314438,0.005729799158871174,0.28777205259440136,0.003475561803485253,0.47522898769834837,0.0037713363444437887,0.5004418508584183,0.002757881016782117,0.26497477293014526,0.012794922105967999,0.2205825299024582,0.010839481838047504,3.0,0.0
20,3707,0.19478878378868103,0.3757878063640073,0.007456470280885696,0.000990047468803823,0.011834640055894852,0.000777669542003423,0.03257838264107704,0.0011265453649684787,0.05292707309126854,0.0017886323621496558,0.06766308844089508,0.002425501123070717,0.10614484208430228,0.004207316295864165,0.14554561146354902,0.00396182791069256,0.1576228651383668,0.0016821915381965878,0.0822381004691124,0.004913007374852896,0.062480855733156204,0.0033373902551829815,3.0,0.0
21,3767,0.5971397161483765,0.5104472613930341,0.0032218019478023052,0.00028340722201392055,0.006740220822393894,0.0005289286491461098,0.023231467232108116,0.0009611272253096104,0.04075407609343529,0.00140359066426754,0.05377135053277016,0.0019491276470944285,0.08837877170822331,0.0043129429060172345,0.1609517522880719,0.003874037113936388,0.1748202496238811,0.0015560260207379529,0.2016804814338684,0.009639599360525608,0.20601245760917664,0.009850486181676388,0.0,0.0
22,3797,0.07885101437568665,0.09309797327552831,0.05395779013633728,0.0017687070649117231,0.1494067907333374,0.004842223133891821,0.25979939103126526,0.008396332152187824,0.35992783308029175,0.011629602871835232,0.4234018325805664,0.013735377229750156,0.6026417340916874,0.004305818647734854,0.6328869509535077,0.004450551731446595,0.7071431131250122,0.003297164324058461,0.3227381706237793,0.015291925519704819,0.23196028172969818,0.011337673291563988,0.0,0.0
23,3895,0.11524572223424911,0.10883341070506727,0.0096709243953228,0.00037560026976279914,0.01962643675506115,0.0007254226366057992,0.0287956353276968,0.0010068748379126191,0.04089677706360817,0.0013742682058364153,0.043680302798748016,0.00162219675257802,0.0460996050418705,0.004392071002069528,0.057319005282717966,0.004418578623045304,0.058980318242195774,0.0012274889141992416,0.0313367135822773,0.0026918011717498302,0.022569220513105392,0.0018753117183223367,1.0,0.0
24,3917,0.42873528599739075,0.5216595727320232,0.001063782605342567,0.00020619538554456085,0.009004895575344563,0.0007333793328143656,0.04825448989868164,0.0017532578203827143,0.09617241472005844,0.0033773051109164953,0.13456319272518158,0.005002742633223534,0.11629398457293806,0.0041432115067269425,0.18973192427188074,0.0037312824915252305,0.26059624566537803,0.002295743444479453,0.15942302346229553,0.008153599686920643,0.12208826094865799,0.00653798459097743,0.0,0.0
25,3920,0.4986128807067871,0.5412795837039769,0.0023158076219260693,0.0002215093409176916,0.006367731839418411,0.00035541498800739646,0.028535109013319016,0.0009792627533897758,0.05624350905418396,0.0018733416218310595,0.07979940623044968,0.0027341193053871393,0.12784133440980258,0.004070141257325373,0.23915392931393387,0.0035583953350013906,0.25071161840569084,0.001719636066629236,0.19358134269714355,0.009500143118202686,0.14610445499420166,0.007401848677545786,0.0,0.0
26,4039,0.33691325783729553,0.34912435080311466,0.005103288218379021,0.00047457218170166016,0.020222896710038185,0.0008701595361344516,0.09395484626293182,0.0031159494537860155,0.1260877251625061,0.004096537828445435,0.16518226265907288,0.005418824031949043,0.2785092540748953,0.0034850768731002867,0.4923040731140931,0.0038326429476815108,0.49287865296922984,0.002683060201006501,0.27175262570381165,0.013306288048624992,0.23780196905136108,0.011806590482592583,0.0,0.0
27,4090,0.3865913152694702,0.3977069306802471,0.0019845361821353436,0.00020472081087063998,0.012322262860834599,0.0005711490521207452,0.06101340055465698,0.0020564296282827854,0.08938505500555038,0.002934104995802045,0.1134224459528923,0.0037466338835656643,0.1791103056270403,0.0037804973596580523,0.2922835969936496,0.003471942485100888,0.3106606973073754,0.0017126333992344654,0.17577125132083893,0.008800726383924484,0.14623510837554932,0.007483705412596464,0.0,0.0
28,4112,0.4245503544807434,0.41076898177773125,0.0016871365951374173,0.000221861875616014,0.007816107012331486,0.00036430160980671644,0.03757571801543236,0.0012520417803898454,0.06860575824975967,0.0022613981273025274,0.09428399801254272,0.0031451766844838858,0.15242922351331595,0.0039217317267821366,0.2997581053253685,0.0034673772626250057,0.3032339407031738,0.0018164410942560739,0.1961575299501419,0.009637397713959217,0.16764868795871735,0.00826201494783163,2.0,0.0
29,4390,0.0789918601512909,0.11033333034188088,0.05762643739581108,0.0018840509001165628,0.14543840289115906,0.004705454222857952,0.2280067652463913,0.007364922668784857,0.2988426685333252,0.009655898436903954,0.3386118710041046,0.010960458777844906,0.45038396117131546,0.0036898783054665125,0.5071221848630172,0.0038890043288323313,0.5313267331713529,0.003163935437629338,0.294940322637558,0.01419601310044527,0.2158156931400299,0.010669402778148651,0.0,0.0
30,4512,0.07934987545013428,-1.0,0.21570399403572083,0.007156688254326582,0.6603245735168457,0.02137165516614914,1.2244980335235596,0.03951997682452202,1.8791730403900146,0.06063782051205635,2.2486417293548584,0.0725916177034378,-99.0,-99.0,-99.0,-99.0,2.8557642829190137,0.007404142069915422,1.7712782621383667,0.081898033618927,1.3025273084640503,0.060487110167741776,3.0,0.0
